Austria,,0.2,0.2,2020-05-07
Belgium,,0.21,0.21,2020-05-07
Bulgaria,,0.2,0.2,2020-05-07
Canada,AB,0.05,0.05,2020-05-07
Canada,BC,0.05,0.12,2020-05-07
Canada,MB,0.05,0.13,2020-05-07
"United States",SC,0.06,0.0736,2020-05-07
Canada,NS,0.05,0.15,2020-05-07
Canada,NT,0.05,0.05,2020-05-07
Canada,NU,0.05,0.05,2020-05-07
Canada,ON,0.05,0.13,2020-05-07
Canada,QC,0.05,0.1498,2020-05-07
Canada,YT,0.05,0.05,2020-05-07
Cyprus,,0.19,0.19,2020-05-07
"Czech Republic",,0.21,0.21,2020-05-07
Germany,,0.19,0.19,2020-05-07
Denmark,,0.25,0.25,2020-05-07
Estonia,,0.2,0.2,2020-05-07
Greece,,0.24,0.24,2020-05-07
Spain,,0.21,0.21,2020-05-07
Finland,,0.24,0.24,2020-05-07
France,,0.2,0.2,2020-05-07
Croatia,,0.25,0.25,2020-05-07
Hungary,,0.27,0.27,2020-05-07
Ireland,,0.23,0.23,2020-05-07
Italy,,0.22,0.22,2020-05-07
Lithuania,,0.21,0.21,2020-05-07
Luxembourg,,0.17,0.17,2020-05-07
Latvia,,0.21,0.21,2020-05-07
Malta,,0.18,0.18,2020-05-07
Netherlands,,0.21,0.21,2020-05-07
Poland,,0.23,0.23,2020-05-07
Portugal,,0.23,0.23,2020-05-07
"United States",NC,0.0475,0.069,2020-05-07
Sweden,,0.25,0.25,2020-05-07
Slovenia,,0.22,0.22,2020-05-07
Slovakia,,0.2,0.2,2020-05-07
"United Kingdom",,0.2,0.2,2020-05-07
"United States",CT,0.0635,0.0635,2020-05-07
"United States",DC,0.0575,0.0575,2020-05-07
"United States",DE,0,0,2020-05-07
"United States",HI,0.04,0.0424,2020-05-07
"United States",IN,0.07,0.07,2020-05-07
"United States",KY,0.06,0.06,2020-05-07
"United States",MA,0.0625,0.0625,2020-05-07
"United States",MD,0.06,0.06,2020-05-07
"United States",ME,0.055,0.055,2020-05-07
"United States",MI,0.06,0.06,2020-05-07
"United States",ID,0.06,0.0604,2020-05-07
"United States",MT,0,0,2020-05-07
Canada,SK,0.05,0.11,2020-05-07
"United States",NV,0.046,0.0778,2020-05-07
"United States",NH,0,0,2020-05-07
"United States",NJ,0.07,0.0663,2020-05-07
"United States",OR,0,0,2020-05-07
"United States",PR,0.115,0.115,2020-05-07
"United States",RI,0.07,0.07,2020-05-07
"United States",TN,0.07,0.095,2020-05-07
"United States",VA,0.043,0.0546,2020-05-07
"United States",NM,0.0513,0.0703,2020-05-07
"United States",NY,0.04,0.0819,2020-05-07
"United States",LA,0.05,0.0958,2020-05-07
"United States",IL,0.0625,0.075,2020-05-07
"United States",MS,0.07,0.0702,2020-05-07
"United States",IA,0.06,0.0689,2020-05-07
"United States",AL,0.04,0.0836,2020-05-07
Canada,NL,0.05,0.15,2020-05-07
"United States",UT,0.047,0.0661,2020-05-07
Canada,PE,0.05,0.15,2020-05-07
"United States",CA,0.0625,0.0826,2020-05-07
"United States",WV,0.06,0.061,2020-05-07
"United States",NE,0.055,0.0586,2020-05-07
"United States",FL,0.06,0.0682,2020-05-07
"United States",VT,0.06,0.0604,2020-05-07
"United States",TX,0.0625,0.0744,2020-05-07
"United States",WY,0.04,0.0529,2020-05-07
"United States",WI,0.05,0.0546,2020-05-07
"United States",PA,0.06,0.061,2020-05-07
"United States",KS,0.065,0.0805,2020-05-07
"United States",AR,0.065,0.0857,2020-05-07
"United States",MO,0.0423,0.0728,2020-05-07
"United States",AZ,0.056,0.0787,2020-05-07
"United States",OK,0.045,0.0786,2020-05-07
"United States",MN,0.0688,0.0718,2020-05-07
"United States",AK,0,0.0154,2020-05-07
"United States",ND,0.05,0.0551,2020-05-07
"United States",WA,0.065,0.0876,2020-05-07
"United States",GA,0.04,0.0733,2020-05-07
"United States",OH,0.0575,0.071,2020-05-07
"United States",CO,0.029,0.0647,2020-05-07
Canada,NB,0.05,0.15,2020-05-07
"United States",SD,0.045,0.056,2020-05-07
Romania,,0.19,0.19,2020-05-07
